alcohol_units_per_week,sex,sleep_hours
0.0,female,7.127142857142858
0.0,male,7.044301075268817
0.1,female,7.069272727272727
0.1,male,6.916333333333333
0.2,female,7.266222222222223
0.2,male,6.967924528301887
0.3,female,7.144468085106383
0.3,male,7.086129032258064
0.4,female,7.27
0.4,male,7.072745098039215
0.5,female,7.125185185185185
0.5,male,6.946944444444444
0.6,female,6.9848
0.6,male,6.983636363636363
0.7,female,7.102884615384616
0.7,male,6.877735849056603
0.8,female,7.083
0.8,male,7.136274509803921
0.9,female,7.124210526315789
0.9,male,7.047894736842106
1.0,female,7.224264705882353
1.0,male,7.115409836065574
1.1,female,7.328
1.1,male,6.75
1.2,female,6.885303030303031
1.2,male,6.993521126760563
1.3,female,7.1793150684931515
1.3,male,6.892289156626505
1.4,female,7.203932584269663
1.4,male,6.8576250000000005
1.5,female,7.313928571428572
1.5,male,7.026545454545454
1.6,female,7.050800000000001
1.6,male,7.027058823529411
1.7,female,7.145
1.7,male,7.037241379310345
1.8,female,7.236219512195122
1.8,male,7.0125
1.9,female,7.347941176470589
1.9,male,6.878461538461539
2.0,female,7.038901098901099
2.0,male,7.13
2.1,female,7.281568627450981
2.1,male,7.145373134328358
2.2,female,6.965142857142857
2.2,male,7.178571428571429
2.3,female,7.121123595505618
2.3,male,6.929204545454545
2.4,female,6.8725
2.4,male,7.146266666666667
2.5,female,7.032526315789474
2.5,male,6.989
2.6,female,7.0539252336448595
2.6,male,6.9724324324324325
2.7,female,7.144400000000001
2.7,male,6.869772727272727
2.8,female,7.0582142857142856
2.8,male,7.084939759036144
2.9,female,7.089072164948454
2.9,male,6.959390243902439
3.0,female,7.0155
3.0,male,6.651803278688525
3.1,female,6.858785046728972
3.1,male,6.929183673469387
3.2,female,7.108585858585859
3.2,male,7.115853658536586
3.3,female,7.024356435643565
3.3,male,6.798767123287671
3.4,female,7.000379746835443
3.4,male,7.046625000000001
3.5,female,7.131463414634146
3.5,male,6.857460317460317
3.6,female,6.990561797752808
3.6,male,7.011666666666667
3.7,female,7.122
3.7,male,6.772409638554217
3.8,female,7.003846153846153
3.8,male,7.070649350649352
3.9,female,7.14816091954023
3.9,male,6.919655172413792
4.0,female,7.0016
4.0,male,7.030294117647059
4.1,female,7.071216216216216
4.1,male,7.1055
4.2,female,7.037236842105264
4.2,male,6.781911764705883
4.3,female,7.001973684210526
4.3,male,6.916153846153846
4.4,female,7.236081081081082
4.4,male,7.0042857142857144
4.5,female,7.03875
4.5,male,6.863108108108108
4.6,female,7.137419354838709
4.6,male,7.0375
4.7,female,7.035384615384615
4.7,male,7.192115384615385
4.8,female,7.0110447761194035
4.8,male,6.887021276595744
4.9,female,7.305972222222222
4.9,male,6.967627118644067
5.0,female,7.175277777777778
5.0,male,6.705
5.1,female,6.977735849056604
5.1,male,6.835102040816327
5.2,female,7.043934426229509
5.2,male,7.0115384615384615
5.3,female,7.1527692307692305
5.3,male,7.029999999999999
5.4,female,6.753392857142857
5.4,male,6.975882352941176
5.5,female,7.240952380952381
5.5,male,6.789629629629629
5.6,female,7.127419354838709
5.6,male,6.918125
5.7,female,7.106481481481482
5.7,male,7.163137254901961
5.8,female,7.0685714285714285
5.8,male,6.960983606557377
5.9,female,6.9954716981132075
5.9,male,6.895208333333334
6.0,female,7.096000000000001
6.0,male,6.79328125
6.1,female,7.060425531914893
6.1,male,6.634399999999999
6.2,female,7.207555555555555
6.2,male,6.9286111111111115
6.3,female,6.8500000000000005
6.3,male,6.796
6.4,female,7.135862068965517
6.4,male,6.873170731707317
6.5,female,7.012162162162162
6.5,male,6.872142857142857
6.6,female,7.050217391304348
6.6,male,7.183000000000001
6.7,female,7.08725
6.7,male,7.061034482758621
6.8,female,6.757272727272727
6.8,male,6.9575
6.9,female,7.040285714285714
6.9,male,6.784864864864865
7.0,female,7.048809523809524
7.0,male,6.950454545454545
7.1,female,7.053513513513514
7.1,male,6.922592592592593
7.2,female,6.672750000000001
7.2,male,6.754838709677419
7.3,female,7.204848484848484
7.3,male,7.047499999999999
7.4,female,7.122
7.4,male,6.819705882352942
7.5,female,7.19923076923077
7.5,male,7.057241379310344
7.6,female,7.083749999999999
7.6,male,7.0925
7.7,female,7.084
7.7,male,6.524736842105263
7.8,female,7.051851851851852
7.8,male,7.307826086956522
7.9,female,6.819629629629629
7.9,male,7.215217391304347
8.0,female,7.115
8.0,male,7.032692307692307
8.1,female,7.078823529411765
8.1,male,7.077857142857143
8.2,female,7.4825
8.2,male,7.214736842105264
8.3,female,7.21
8.3,male,6.8715
8.4,female,7.35047619047619
8.4,male,6.9455
8.5,female,7.0256
8.5,male,6.835652173913044
8.6,female,7.3476923076923075
8.6,male,7.007000000000001
8.7,female,7.547826086956522
8.7,male,6.665000000000001
8.8,female,7.290526315789474
8.8,male,6.9464
8.9,female,7.579166666666667
8.9,male,6.973076923076923
9.0,female,7.0535
9.0,male,7.1033333333333335
9.1,female,7.352941176470588
9.1,male,7.296923076923077
9.2,female,7.2299999999999995
9.2,male,6.877391304347826
9.3,female,6.7441176470588236
9.3,male,7.377142857142857
9.4,female,6.98578947368421
9.4,male,6.702916666666667
9.5,female,7.210666666666667
9.5,male,7.628888888888889
9.6,female,7.5317647058823525
9.6,male,6.922857142857143
9.7,female,7.329090909090909
9.7,male,6.844666666666667
9.8,female,7.485
9.8,male,6.8425
9.9,female,7.274285714285715
9.9,male,7.156363636363636
10.0,female,6.775714285714286
10.0,male,7.153846153846154
10.1,female,7.207777777777778
10.1,male,7.146428571428571
10.2,female,7.2869230769230775
10.2,male,7.224444444444444
10.3,female,7.668125
10.3,male,7.394444444444444
10.4,female,7.103333333333333
10.4,male,6.7379999999999995
10.5,female,7.424444444444443
10.5,male,6.882142857142857
10.6,female,7.51
10.6,male,6.6872727272727275
10.7,female,7.313
10.7,male,7.0225
10.8,female,6.788571428571428
10.8,male,7.117999999999999
10.9,female,7.4325
10.9,male,6.9772727272727275
11.0,female,7.290000000000001
11.0,male,7.102307692307692
11.1,female,8.143333333333334
11.1,male,7.090833333333333
11.2,female,7.426666666666667
11.2,male,6.643000000000001
11.3,female,6.454999999999999
11.3,male,6.6866666666666665
11.4,female,7.664
11.4,male,6.970000000000001
11.5,female,7.202000000000001
11.5,male,7.13125
11.6,female,7.342499999999999
11.6,male,7.156000000000001
11.7,female,7.963333333333334
11.7,male,7.1899999999999995
11.8,female,8.51
11.8,male,7.214444444444445
11.9,female,7.140000000000001
11.9,male,7.054615384615384
12.0,female,7.0649999999999995
12.0,male,6.8525
12.1,female,6.536666666666666
12.1,male,7.199999999999999
12.2,female,7.223999999999999
12.2,male,7.618
12.3,female,8.32
12.3,male,7.53625
12.4,female,6.505714285714285
12.4,male,7.328
12.5,female,7.2275
12.5,male,6.446
12.6,female,6.596666666666667
12.6,male,7.763333333333333
12.7,female,7.079999999999999
12.7,male,7.043333333333333
12.8,female,7.6125
12.8,male,6.998333333333334
12.9,female,6.446666666666666
12.9,male,7.525
13.0,female,6.67
13.0,male,6.805
13.1,female,6.45
13.1,male,7.0
13.2,female,7.26
13.2,male,7.77
13.3,female,6.038
13.3,male,6.965
13.4,female,6.868333333333333
13.4,male,6.84
13.5,female,6.887499999999999
13.5,male,8.19
13.6,female,5.635
13.6,male,6.845
13.7,female,6.71
13.7,male,7.29
13.8,female,8.79
13.8,male,7.4
13.9,female,7.154999999999999
14.0,male,7.03
14.1,female,6.14
14.1,male,6.48
14.2,female,6.398000000000001
14.3,female,7.233333333333333
14.3,male,7.42
14.4,female,7.109999999999999
14.5,female,6.286666666666666
14.6,female,5.87
14.6,male,8.11
14.7,female,6.88
14.7,male,7.49
14.8,female,8.555
14.9,female,6.29
14.9,male,5.09
15.0,male,6.22
15.1,female,7.58
15.2,female,5.365
15.2,male,7.28
15.3,female,6.92
15.4,female,7.010000000000001
15.6,female,7.458
15.6,male,5.75
15.7,female,7.43
15.8,female,5.523333333333333
15.8,male,7.83
15.9,female,6.89
16.0,female,6.666666666666667
16.0,male,5.77
16.1,male,6.01
16.2,female,5.85
16.2,male,6.01
16.3,female,6.75
16.4,female,6.83
16.6,female,7.296666666666667
16.7,female,8.34
16.7,male,5.96
16.8,female,5.93
17.0,female,6.67
17.1,female,7.035
17.1,male,5.82
17.2,female,7.855
17.3,female,6.744999999999999
17.3,male,6.2
17.4,female,7.626666666666666
17.5,female,7.173333333333333
18.1,female,6.44
18.4,male,5.31
18.5,male,5.99
18.6,female,7.99
18.7,female,8.61
19.0,female,7.36
19.2,female,7.605
19.3,female,8.0
19.5,female,8.26
19.6,female,8.31
19.7,female,7.69
19.8,female,8.07
19.9,female,8.23
20.0,male,5.82
20.3,female,7.97
20.4,female,8.19
20.6,female,8.11
20.9,female,8.17
21.1,female,9.34
21.3,female,8.489999999999998
21.7,female,8.21
21.8,female,8.2
21.9,female,8.41
